url,title,content
https://www.elec.ru/news/2020/11/27/vpervye-provedeno-masshtabnoe-soveshanie-po-vzaimo.html,Впервые проведено масштабное совещание по взаимодействию группы компаний «ТНС Энерго» и «Россетей»,"В мероприятии, организованном в формате ВКС, участвовали руководители компании «Россети Центр» — управляющей организации «Россети Центр и Приволжье», «Россети Кубань», «Россети Юг», профильные заместители генеральных директоров «Россети Волга» и «Россети Северо-Запад», а также генеральный директор группы компаний «ТНС энерго» Евгений Севергин. Руководителям дочерних предприятий «Россетей» представили Евгения Севергина, который был назначен на должность генерального директора «ТНС энерго» 6 ноября решением совета директоров. Генеральный директор «Россети Центр и «Россети Центр и Приволжье» Игорь Маковский сообщил коллегам, что по поручению главы группы компаний «Россети» Павла Ливинского курировать работу по взаимодействию с гарантирующими поставщиками и группой компаний «ТНС Энерго» будет Елена Стельнова в статусе советника первого заместителя генерального директора «Россетей». Игорь Маковский отметил, что эти решения связаны с перезагрузкой отношений между энергосбытовым холдингом и компаниями «Россетей».  По словам Елены Стельновой, всего за несколько недель ноября кардинальным образом изменился формат взаимодействия «Россетей» с группой компании «ТНС энерго». Евгений Севергин в своем выступлении обратил особое внимание на то, что новое руководство «ТНС энерго» нацелено на укрепление и расширение сотрудничества с группой «Россети» и на скорейшее разрешение всех спорных вопросов. "
https://www.elec.ru/news/2020/11/27/tambovenergo-prodolzhaet-borbu-s-poterjami-elektro.html,В «Тамбовэнерго» подвели итоги реализации мероприятий по снижению потерь электроэнергии,"В филиале «Россети Центр Тамбовэнерго» подвели итоги реализации мероприятий по снижению потерь электроэнергии за 10 месяцев 2020 года. Эффект от выполнения мероприятий составил 19,8 млн. кВт·ч.  Снижению потерь способствовала замена приборов учета, вышедших из строя либо признанных непригодными к расчету. Выполнялись и другие организационные и технические мероприятия. В том числе — замена перегруженных и недогруженных трансформаторов, замена проводов на большее сечение на перегруженных ЛЭП и неизолированного провода на самонесущий изолированный провод в местах наибольших потерь электроэнергии. Также производилось отключение трансформаторов в режимах малых нагрузок на подстанциях с двумя трансформаторами, трансформаторов с сезонной нагрузкой и выравнивание нагрузок фаз в распределительных сетях 0,38 кВ. Весомый эффект также дали рейды по пресечению безучетного и бездоговорного потребления электроэнергии. С января по ноябрь 2020 года недобросовестными потребителями оплачено почти 15 млн руб. по 140 выявленным фактам хищения электроэнергии. С остальных нарушителей задолженность будет взыскиваться принудительно, в судебном порядке, с возложением на виновных всех судебных расходов."
https://www.elec.ru/news/2020/11/27/energetiki-ao-oboronenergo-pristupili-k-rabotam-po.html,Энергетики «Оборонэнерго» восстанавливают электроснабжение района Эгершельд во Владивостоке,"Бригада энергетиков АО «Оборонэнерго», несмотря на темное время суток, приступила к восстановлению воздушной линии, питающей район Эгершельд в столице Приморского края. Специалисты уже произвели осмотр линии, определили объем работы. Воздушная линия, от которой запитаны жилые дома, проходит по территории полуострова Шкота. Его пересеченная местность, с оврагами и крутыми склонами, продолжает оставаться покрытой толстым слоем льда. В данных условиях энергетики монтируют 960 метров провода, меняют на данном участке всю линейную арматуру и четыре поврежденные опоры. Также будет восстановлена работоспособность двух переходов ЛЭП, протяженность каждого из которых превышает 100 метров, протянутых над оврагами полуострова на юго-западе Владивостока. Несмотря на все трудности, энергетики АО «Оборонэнерго» продолжают ликвидировать последствия ледяного дождя. В светлое время суток их работу обещают поддержать коллеги из смежных сетевых организаций."
https://www.elec.ru/news/2020/11/27/26-noyabrya-v-kirove-startoval-xx-mezhregionalnyj.html,26 ноября в Кирове стартовал XX межрегиональный форум «Эффективная энергетика и ресурсосбережение»,"В 2020 году в связи со сложившейся эпидемиологической обстановкой большинство мероприятий форума проходят в режиме видеоконференцсвязи. Активное участие в мероприятии принимают руководители и специалисты кировского филиала «Россети Центр и Приволжье». Межрегиональный форум «Эффективная энергетика и ресурсосбережение» проводится с 2000 года. Это единственное крупное региональное мероприятие в сфере энергетической эффективности. Организаторами мероприятия являются правительство Кировской области, министерство энергетики и жилищно-коммунального хозяйства Кировской области, Агентство энергосбережения, союз «Вятская торгово-промышленная палата» и Вятский государственный университет. Открыло форум пленарное заседание «Энергоэффективность — стратегический вектор развития» под председательством министра энергетики и жилищно-коммунального хозяйства Кировской области Андрея Балдыкова. В заседании принял участие заместитель генерального директора «Россети Центр и Приволжье» — директор филиала «Кировэнерго» Владимир Колесников, который рассказал о перспективах развития отрасли. Особое внимание в докладе руководителя «Кировэнерго» было уделено целям и задачам, которые стоят сегодня перед электросетевым комплексом Кировской области. Это повышение надежности электроснабжения, снижение потерь в электросетях, увеличение нетарифной выручки и поэтапная реализация программы цифровой трансформации. Для решения этих задач необходима широкомасштабная реконструкция существующих электрических сетей с применением цифровых технологий. Большой интерес участников пленарного заседания вызвала информация о технологиях цифрового РЭС, в частности — системах автоматического управления ВЛ 6-10 кВ с помощью распределенной автоматизации. Этот проект в «Кировэнерго» реализован на базе Юрьянского РЭС, где уже сегодня установлены 44 современных реклоузера, 24 дистанционно управляемых разъединителя, 11 индикаторов короткого замыкания. Реконструированы 72 км воздушных линий электропередачи 10 кВ. Эффекты видны уже сейчас. В частности, снижена средняя длительность технологических нарушений. Кроме того, в этом году планируется реализация таких цифровых проектов, как установка первой в регионе системы накопления электроэнергии (СНЭ) и проведение работ по созданию цифрового Центра управления сетями. Активно развивается реализация дополнительных услуг. Как пример — подписание концессионного соглашения между правительством региона и «Россети Центр и Приволжье Кировэнерго» на обслуживание котельных и тепловых сетей поселка Лесной Верхнекамского района, а также оказание услуг муниципалитетам по реконструкции и ремонту систем наружного освещения. Продолжением форума стали панельные дискуссии и круглые столы. Участники обсудили механизмы финансирования и стимулирования энергосберегающих мероприятий и ресурсосбережения, вопросы повышения эффективности использования энергоресурсов в ЖКХ, а также другие актуальные темы. Межрегиональный форум «Эффективная энергетика и ресурсосбережение» проходит 2 дня — с 26 по 27 ноября."
https://www.elec.ru/news/2020/11/26/rosseti-centr-i-privolzhe-ivenergo-uluchshayut-ele.html,«Россети Центр и Приволжье Ивэнерго» улучшают электроснабжение потребителей региона,"За 9 месяцев 2020 года в рамках инвестиционной программы энергетиками «Россети Центр и Приволжье Ивэнерго» введено 2,5 МВА трансформаторной мощности, построено 25,6 км воздушных линий электропередачи, выполнена реконструкция оборудования на 282 объектах электросетевого комплекса, произведен ввод 476 точек учета потребления электроэнергии. Для технологического присоединения к сетям потребителей, в том числе льготных групп потребителей до 150 киловатт, энергетиками «Ивэнерго» введено 1,66 МВА трансформаторной мощности и 25 км воздушных линий. Наибольший объем работ проведен на базе Ивановского цифрового района электрических сетей. В рамках проекта цифровизации электрической сети на воздушных линиях установлено 35 реклоузеров, 40 индикаторов короткого замыкания, 65 разъединителей и 90 контроллеров телемеханики реклоузеров. Это позволит повысить надежность электроснабжения потребителей, приведет к снижению времени устранения повреждений, сокращению недоотпуска электроэнергии потребителям, а также повысит дистанционную управляемость и наблюдаемость электрической сети. Выполнена модернизация подстанции «Кохма» с устройством компенсации емкостных токов. На подстанциях «Ново-Талицы» в Ивановском районе и «Светиково» в Комсомольском районе произведена установка оборудования дуговых защит, что позволит увеличить надежность. На ПС «Демидово» в Пестяковском районе выполнена реконструкция маслосборного устройства, что обеспечило приведение технических параметров подстанции к нормативному значению и снижение показателей аварийности подстанции. Всего в 2020 году филиал «Ивэнерго» в рамках исполнения инвестиционной программы планирует ввести 40,5 км воздушных линий электропередачи и 4,8 МВА трансформаторной мощности, а также завершить цифровую трансформацию Ивановского РЭС."
https://www.elec.ru/news/2020/11/25/loesk-vydast-bolee-2000-kvt-moshnosti-obsheobrazov.html,«ЛОЭСК» выдаст более 2000 кВт мощности общеобразовательным и дошкольным детским учреждениям в Кудрово,"Компания «ЛОЭСК» реализовала комплекс мероприятий по созданию внешней схемы электроснабжения для самого большого на сегодняшний день в Ленинградской области детского сада в «Новом Оккервиле» на 295 мест. Для обеспечения своевременного ввода объекта в эксплуатацию работы электросетевой компании были выполнены заблаговременно. В результате уже сегодня электроснабжение детского сада осуществляется по постоянной схеме в пределах максимальной мощности потребления 301,6 кВт по второй категории надежности. Кроме того, «ЛОЭСК» реализует схему внешнего электроснабжения общеобразовательной школы на 825 мест в массиве Янино-Восточный. Работы проводятся в рамках исполнения обязательств по договору об осуществлении технологического присоединения к электрическим сетям с застройщиком. По проекту сетевая компания планирует выделить мощность в размере 366,8 кВт для электроснабжения школы уже в мае 2021 года. В текущих и перспективных планах «ЛОЭСК» технологическое присоединение и обеспечение надежного бесперебойного электроснабжения еще нескольких объектов дошкольного и среднего общего образования в микрорайоне Кудрово. Так, до конца 2020 года сетевая компания обеспечит мощностью в объеме 672,6 кВт школу на 1100 мест по договору об осуществлении технологического присоединения к электрическим сетям с компанией-застройщиком. В первом квартале 2022 года «ЛОЭСК» запланировало строительство схемы внешнего электроснабжения детского сада на 160 мест с выдачей мощности — 221 кВт и еще одной общеобразовательной школы на 1000 мест. Присоединяемая мощность объекта составит 560 кВт. Осознавая высокую меру ответственности перед жителями Кудрово, «ЛОЭСК» прилагает максимум усилий, обеспечивая досрочный ввод в эксплуатацию строящихся объектов электросетевого комплекса."
https://www.elec.ru/news/2020/11/24/intellektualnye-pribory-ucheta-pozvolili-snizit-po.html,Интеллектуальные приборы учета позволили снизить потери и сэкономить нижегородским энергетикам 167 млн рублей,"Компания «Россети Центр и Приволжье Нижновэнерго» в рамках реализации программы цифровой трансформации продолжает массовое оснащение потребителей Нижегородской области «умными» приборами учета электрической энергии.  Всего на территории региона с 2017 года специалисты энергосетевой компании установили больше 142 тыс. «умных» счетчиков. Благодаря установке интеллектуальных приборов учета за 9 месяцев 2020 года потери электрической энергии снизились на 68,7 млн кВт·ч, экономия для компании составила 167 млн рублей. Энергетики напоминают, что установка «умных» счетчиков абсолютно бесплатна для потребителей: расходы на содержание, эксплуатацию, поверку и ремонт счетчиков электроэнергии берет на себя электросетевая компания. Также потребитель больше не должен ежемесячно передавать показания счетчика и следить за его исправностью. «Умный» счетчик сам передает текущие показания и дает сигнал энергосетевой компании об аварии в сети, а также сообщает о несанкционированном вмешательстве."
https://www.elec.ru/news/2020/11/23/v-kurske-nachal-rabotu-pervyj-mezhregionalnyj-cent.html,В Курске начал работу первый межрегиональный Центр управления сетями,"В церемонии открытия участвовали Министр промышленности и торговли РФ Денис Мантуров, генеральный директор «Россетей» Павел Ливинский, губернатор Курской области Роман Старовойт, глава «Россети Центр» и «Россети Центр и Приволжье» Игорь Маковский.   В зоне ответственности нового ЦУС сейчас — сетевые объекты Курской области. В перспективе он также будет управлять электросетями Орловской области. Всего в 2 упомянутых регионах проживает более 1,8 млн человек. Максимальная потребляемая мощность – свыше 1 ГВт, что сопоставимо с мощностью энергоблока современной атомной электростанции. Возможно расширение зоны ответственности на другие регионы ЦФО и классы напряжения.   Главная особенность центра — работа на базе отечественного оперативно-информационного комплекса СК-11, который обрабатывает свыше 75 000 сигналов в секунду. Диспетчер управляет коммутационными аппаратами энергообъектов на расстоянии, мгновенно получает информацию о любых нарушениях. Обеспечена возможность оперативной связи со 100 % бригад.   Важный помощник – электронный журнал, в котором автоматически фиксируются все значимые события. Также в распоряжении специалистов находятся геоинформационная система (ГИС) и метеопортал. В случае сигнала о срабатывании пожарной сигнализации на каком-либо объекте можно получить дополнительные сведения при помощи системы охранно-технологического видеонаблюдения.   Всё взаимодействие с потребителями построено на базе контакт-центра (площадки расположены в Белгороде и Иваново). На постоянной связи — 110 операторов (при необходимости их число может быть увеличено до 600). Все обращения регистрируются в системе, чтобы диспетчер мог в кратчайшие сроки организовать аварийно-восстановительные работы.  "
https://www.elec.ru/news/2020/11/23/nizhnovenergo-ustanovil-na-centralnoj-ploshadi-arz.html,«Нижновэнерго» установил на центральной площади Арзамаса новое светодиодное освещение,"Специалисты «Россети Центр и Приволжье Нижновэнерго» завершили работы по установке новых светодиодных светильников на Соборной площади города Арзамаса Нижегородской области. Соборная площадь является общественным и культурным центром Арзамаса. На ней расположены сразу несколько исторических зданий: Воскресенский кафедральный собор, Никольский женский монастырь, церковь Живоносного источника и Церковь иконы Казанской Божьей матери. Традиционно с этой площади начинается посещение туристами этого города. Обновление освещения центральной площади Арзамаса было проведено в рамках энергосервисного контракта «Россети Центр и Приволжье Нижновэнерго» и администрации города Арзамаса по модернизации уличного освещения. Энергетики уже установили более 2 тыс. новых светильников на улицах города. Для обеспечения безопасности работ по согласованному с администрацией графику на несколько часов отключается напряжение на данном участке сети. Отметим, что все отключения электричества минимизированы."
https://www.elec.ru/news/2020/11/23/energetiki-vladimirenergo-obespechili-ekologichesk.html,Энергетики «Владимирэнерго» обеспечили экологическую безопасность производства,"Энергетики «Россети Центр и Приволжье Владимирэнерго» выполнили комплекс мероприятий по снижению рисков негативного воздействия на окружающую среду и сохранению живой природы. Обеспечение экологической безопасности производства напрямую связано с внедрением современного оборудования, модернизацией и ремонтом энергообъектов. Так, в текущем году на объектах энергетиками «Владимирэнерго» произведена реконструкция 7 систем аварийного слива масла и маслоприемников трансформаторов. Эти мероприятия позволяют исключить вредное воздействие нефтепродуктов (масла) при возможном разливе. В «Россети Центр и Приволжье Владимирэнерго» на постоянной основе обеспечивается сбор и сдача на утилизацию отходов производства: ртутных ламп, аккумуляторных батарей, автопокрышек, металлолома, масла. Проводится своевременное обучение ответственных лиц подразделений с правом работы с опасными отходами и повышение квалификации специалистов филиала, ответственных за процессы, связанные с охраной окружающей среды и экологической безопасностью. Регулярно осуществляется производственный контроль атмосферного воздуха. Взятые пробы воздуха на границах промышленных площадок соответствуют норме. Во время прохождения государственного технического осмотра проводится проверка автотранспорта на дымность и содержание оксида углерода и углеводородов в отработавших газах. Важной мерой, способствующей сохранению живой природы является использование самонесущего изолированного провода (СИП) при строительстве, реконструкции воздушных линий электропередачи, подключении новых потребителей. С начала года специалистами Владимирэнерго было заменено и вновь введено в эксплуатацию более 220 км неизолированного провода на самонесущий изолированный. Его применение позволяет существенно сократить площадь вырубки деревьев в охранных зонах линий электропередачи и предотвратить гибель птиц."
